Org Name,Organization Type,HQ Related Organization,Org Contacts,Long Name / Description,Website URL,Project Name,Full Name,Sub / HQ,Resources,"Industry ",Track Record,Charlottesville?,Virginia?
AbbVie Innovation Midwest Award,Funding Source,,,"A regional innovation award or grant opportunity supported by AbbVie, a global biopharmaceutical company. These awards typically recognize and support early-stage research, startups, or translational science initiatives, often in partnership with academic institutions or tech accelerators",https://www.abbvie.com,Portera Therapeutics (https://www.notion.so/Portera-Therapeutics-1e04e34e337d80618feae2f94434b591?pvs=21),Jetze Tepe (https://www.notion.so/Jetze-Tepe-1d74e34e337d8146a588d3168224c9a9?pvs=21),,"acceleration, funding",life sciences,Portfolio/Alumni Size (5�10 funded ventures); Press/News Presence (10+); Funding Impact (~$2M),No,No
National Institutes of Health,Funding Source,,,"The primary biomedical research agency of the U.S. federal government. Comprising 27 institutes and centers (e.g., NCI, NHLBI, NIAID), the NIH funds and conducts research on human health and diseases, supporting medical advancements, clinical trials, and translational science.",https://www.nih.gov,"Portera Therapeutics (https://www.notion.so/Portera-Therapeutics-1e04e34e337d80618feae2f94434b591?pvs=21), Sonos-FX (https://www.notion.so/Sonos-FX-1d74e34e337d810a86bff2ce7540f3a4?pvs=21), Springbok Analytics (https://www.notion.so/Springbok-Analytics-1df4e34e337d8092b220fc2912e0ed20?pvs=21)","Fred Epstein (https://www.notion.so/Fred-Epstein-1d74e34e337d81cfac66cc7598d2aa57?pvs=21), Jiang He (https://www.notion.so/Jiang-He-1d74e34e337d8197b5b0ecbb41552198?pvs=21), Jetze Tepe (https://www.notion.so/Jetze-Tepe-1d74e34e337d8146a588d3168224c9a9?pvs=21), Sheng Li (https://www.notion.so/Sheng-Li-1eb4e34e337d805a9fc2e7b590022071?pvs=21), Jim  Daniero (https://www.notion.so/Jim-Daniero-1d74e34e337d81afb49aca465bd6d134?pvs=21), Manoj  Patel (https://www.notion.so/Manoj-Patel-1d74e34e337d8184a7f6dc6f67552057?pvs=21), Tom Barker (https://www.notion.so/Tom-Barker-1d74e34e337d8160b603df4661f95044?pvs=21)",,"funding, incubation, networking, training","deep tech, life sciences","Portfolio/Alumni Size (1,500+ startups funded via SBIR/STTR); Notable Outcomes (100+ IPOs/M&As); Activity/Engagement Level (135+ years); Press/News Presence (10,000+); Funding Impact ($10B+ to startup-related biomedical research)",No,No
"Ivy Biomedical Innovation Fund ",Funding Source,,,"A UVA internal funding program that supports translational biomedical research, helping faculty move early-stage discoveries toward clinical and commercial impact.",https://research.virginia.edu/initiatives/translational-research/ivy-biomedical-innovation-fund,Protective Vest Project (Cady Hug) (https://www.notion.so/Protective-Vest-Project-Cady-Hug-1d74e34e337d815da61fd9fd6c27fca0?pvs=21),Manoj  Patel (https://www.notion.so/Manoj-Patel-1d74e34e337d8184a7f6dc6f67552057?pvs=21),,"funding, incubation, networking, training, validation","hardware / manufacturing, life sciences",Portfolio/Alumni Size (10+ biomedical startups funded); Activity/Engagement Level (10+ years); Press/News Presence (10+); Funding Impact ($5M+),Yes,Yes
LVG Seed Fund,Funding Source,LVG (https://www.notion.so/LVG-1f24e34e337d801e8081e54fd650bd5a?pvs=21),Bob Creeden (https://www.notion.so/Bob-Creeden-1d74e34e337d81d5a13eff4f114a41cf?pvs=21),An investment fund managed by LVG that provides early-stage capital to UVA-affiliated startups.,https://lvg.virginia.edu/funding/uva-lvg-seed-fund,Roversa Robotics (https://www.notion.so/Roversa-Robotics-1d74e34e337d813b9445cd083056d480?pvs=21),,,"funding, incubation, mentorship, networking","deep tech, education / edtech, hardware / manufacturing, life sciences, software / SaaS, tech","Portfolio/Alumni Size (seed-invested >20 UVA spinouts through annual program); Activity/Engagement Level (launched ~2018, ~7 years); Press/News Presence (covered via LVG communications & university startup announcements); Funding Impact (>$1.25M deployed to early-stage ventures in FY?2024)",Yes,Yes
434 Accelerator,Funding Source,,,"A long-format accelerator for technology-driven, early-stage startups based in and around the Charlottesville area, providing nine months of program support.",https://www.434.co/,,,,"acceleration, funding, incubation, mentorship, networking","consumer products, impact / social ventures, software / SaaS, tech","Portfolio/Alumni Size (34 startups in program to date, creating ~150 jobs); Activity/Engagement Level (since 2019, ~6 years); Press/News Presence (50+ mentions via local media, LinkedIn, VA Bio-Connect); Funding Impact (program-supported ventures have raised >$38M in capital & grants; offers $20K per startup + $50K+ in resources)",Yes,Yes
GO Virginia,Funding Source,,,A state-funded economic development initiative in Virginia that supports regional collaboration and innovation to drive private-sector job growth and diversify the economy.,https://govirginia.org/,Sonos-FX (https://www.notion.so/Sonos-FX-1d74e34e337d810a86bff2ce7540f3a4?pvs=21),,,"funding, incubation, networking","hardware / manufacturing, impact / social ventures, life sciences, real estate / proptech, software / SaaS","Portfolio/Alumni Size (1,000+ new businesses supported across VA); Activity/Engagement Level (8+ years); Press/News Presence (200+); Funding Impact ($400M+ in state/regional grants)",No,Yes
UVA Strategic Investment Fund,Funding Source,,,"An internal UVA funding mechanism that supports high-impact, transformative projects aligned with the university's long-term strategic goals. The fund prioritizes initiatives with measurable outcomes in areas like research, student experience, infrastructure, and faculty recruitment.",https://sif.virginia.edu/,Sports Data Lab (https://www.notion.so/Sports-Data-Lab-1d74e34e337d813196a1df0cf7f6339e?pvs=21),"Andres  Clarens (https://www.notion.so/Andres-Clarens-1d74e34e337d8124b6a9e2bb3761784b?pvs=21), Natalie Kupperman (https://www.notion.so/Natalie-Kupperman-1d74e34e337d81988b49ca85be318224?pvs=21)",,"funding, grant support, incubation","education / edtech, life sciences, software / SaaS, tech","Portfolio/Alumni Size (81 projects, many with entrepreneurial potential); Notable Outcomes (spinouts like TypeZero); Activity/Engagement Level (8+ years); Press/News Presence (20+); Funding Impact ($300M total; $10M LVG seed fund targeting ventures)",Yes,Yes
CAV Angels,Funding Source,,Rich Diemer (https://www.notion.so/Rich-Diemer-1d74e34e337d81d685c1fd400a33b065?pvs=21),UVA-affiliated angel investor group supporting high-growth ventures with UVA connections.,https://cavangels.com/,Springbok Analytics (https://www.notion.so/Springbok-Analytics-1df4e34e337d8092b220fc2912e0ed20?pvs=21),,,"funding, incubation, mentorship, networking","consumer products, fintech, life sciences, software / SaaS, tech","Portfolio/Alumni Size (22 UVA-affiliated startups since 2015); Notable Outcomes (3 portfolio exits including Astraea, Dive Technologies, Phitonex); Activity/Engagement Level (10?years); Press/News Presence (featured >10 times including Virginia Business and Richmond Inno); Funding Impact (~$25?M+ invested by 160+ accredited investor members)",Yes,Yes
FSHD Global Research Foundation,Funding Source,,,"An international nonprofit based in Australia funding medical research into facioscapulohumeral muscular dystrophy (FSHD), with a focus on treatments and ultimately a cure.",https://fshdglobal.org,Springbok Analytics (https://www.notion.so/Springbok-Analytics-1df4e34e337d8092b220fc2912e0ed20?pvs=21),,,"funding, incubation, networking",life sciences,"Portfolio/Alumni Size (42+ funded research projects across 9 countries in past 9 years); Activity/Engagement Level (since 2007, ~18 years); Press/News Presence (published annual reports and visibility in neuromuscular research outlets); Funding Impact (raised ~$9M to date)",No,No
W.H. Coulter Foundation,Funding Source,,,"A philanthropic foundation that supports the translation of biomedical research into clinical practice. It is best known for the Coulter Translational Research Partnership Program, which funds collaborative projects between engineers and clinicians to accelerate medical innovations toward commercialization.",https://www.coulterfound.org,Springbok Analytics (https://www.notion.so/Springbok-Analytics-1df4e34e337d8092b220fc2912e0ed20?pvs=21),"Amanda Watson (https://www.notion.so/Amanda-Watson-1d74e34e337d81319a59f046ac988b10?pvs=21), Jim  Daniero (https://www.notion.so/Jim-Daniero-1d74e34e337d81afb49aca465bd6d134?pvs=21)",,"funding, incubation, validation","hardware / manufacturing, life sciences",Portfolio/Alumni Size (200+ med-tech startups via Translational Partnerships); Notable Outcomes (100+ licenses/ventures); Activity/Engagement Level (20+ years); Press/News Presence (100+); Funding Impact ($150M+),No,No
The Alleghany Foundation,Funding Source,,,"A private foundation focused on improving the quality of life in Alleghany County, Virginia, through investments in health, education, and community development.",https://alleghanyfoundation.org,Thrivin3 (https://www.notion.so/Thrivin3-1dc4e34e337d80848d04d0d157d7ced3?pvs=21),Amanda Williford (https://www.notion.so/Amanda-Williford-1d74e34e337d8101901be69e444cefea?pvs=21),,"funding, incubation, mentorship, networking","impact / social ventures, life sciences",Portfolio/Alumni Size (15+ rural economic innovation projects); Activity/Engagement Level (40+ years); Press/News Presence (10+); Funding Impact ($3M+),No,Yes
Obici Healthcare Foundation,Funding Source,,,A regional foundation in Virginia that supports initiatives aimed at improving health outcomes and access to care for underserved populations.,https://obicihcf.org,Thrivin3 (https://www.notion.so/Thrivin3-1dc4e34e337d80848d04d0d157d7ced3?pvs=21),Amanda Williford (https://www.notion.so/Amanda-Williford-1d74e34e337d8101901be69e444cefea?pvs=21),,"funding, incubation, networking","impact / social ventures, life sciences",Portfolio/Alumni Size (20+ med?innovation pilots); Activity/Engagement Level (30+ years); Press/News Presence (20+); Funding Impact ($10M+),No,Yes
Nielsen Foundation,Funding Source,,,"The Nielsen Foundation is a private foundation originally funded by Nielsen, a global data and analytics company. We envision a world, enabled by media and technology, where everyone has voice and opportunities to succeed. Our mission is to power and advance inclusive innovation in the media and technology industries, especially through the use of data and research.",https://nielsen-foundation.org/,NFOSys (https://www.notion.so/NFOSys-2684e34e337d80098871f31755f18742?pvs=21),Thomas Floyd (https://www.notion.so/Thomas-Floyd-25d4e34e337d800a8f5bdd634439b8e8?pvs=21),,funding,life sciences,,No,No
Belarusian Republican Foundation for Fundamental Research,Funding Source,,,"Belarus's national agency for funding fundamental and applied scientific research. The BRFFR supports individual scientists and research institutions and facilitates international cooperation, especially in areas aligned with Belarus's national scientific priorities.",,Valentin's Project (https://www.notion.so/Valentin-s-Project-1d74e34e337d818f876cd8b2446e5aaf?pvs=21),Valentin Romanovski (https://www.notion.so/Valentin-Romanovski-1d74e34e337d817ab12cd4d130bda9b5?pvs=21),,funding,"deep tech, life sciences",Portfolio/Alumni Size (100+ funded research projects with commercialization pathways); Activity/Engagement Level (25+ years); Press/News Presence (10+),No,No
CAN,Funding Source,,Tracey  Greene (https://www.notion.so/Tracey-Greene-1d74e34e337d81bb9624e7012bbea8e9?pvs=21),Charlottesville Angels Network,https://cvilleangelnetwork.net/,,,,"funding, incubation, networking, training","fintech, hardware / manufacturing, life sciences, software / SaaS, tech","Portfolio/Alumni Size (~80 startups funded over 10 years); Notable Outcomes (exits include Palvella Therapeutics ? Pieris (NASDAQ: PVLA) with up to 20× return and Dive Technologies ? Anduril (~6× return)); Activity/Engagement Level (10 years since 2015); Press/News Presence (named top?10 angel group in U.S., #1 Southeast per 2016–2021 HALO reports; featured in Virginia Bio and local press); Funding Impact (>$20M invested, typical cheque sizes $100K–$300K per round, latest $1.12M Seed in 2023)",Yes,Yes
Trolley Ventures,Funding Source,,,"Early-stage venture capital firm based in Richmond, VA, investing in diverse founders and regional startups.",https://trolleyventures.com/,,,,"funding, incubation, mentorship, networking","fintech, hardware / manufacturing, life sciences, software / SaaS, tech","Portfolio/Alumni Size (supports early-stage companies in RVA—dozens served); Activity/Engagement Level (since 2017, 8?years); Press/News Presence (>8 mentions in Richmond Times?Dispatch, Richmond BizSense via portfolio companies); Funding Impact (syndicates $100K–$1.5M deals; participates in rounds like a $250K raise for AnswersNow, supports portfolio with Series A–B funding)",No,Yes
NSF ICORPs,Customer Validation Program,,,National Science Foundation program that helps researchers commercialize their innovations via customer discovery. UVA I-Corp: https://lvg.virginia.edu/uva-lvg-i-corps,https://www.nsf.gov/news/special_reports/i-corps,Avant Genomics (https://www.notion.so/Avant-Genomics-1d74e34e337d8122aaeffb3fe0887216?pvs=21),,,"funding, incubation, networking, training","deep tech, hardware / manufacturing, life sciences, software / SaaS","Portfolio/Alumni Size (5,800+ individuals trained, over 1,200 startups launched); Activity/Engagement Level (since 2011, 14 years); Funding Impact (participating teams have raised over $760M in follow-on funding)",Yes,Yes
NIH Bootcamp,Customer Validation Program,,,"Training programs (e.g., Applicant Assistance Program) to help life science startups secure NIH funding.",https://grants.nih.gov/grants/guide/notice-files/NOT-OD-25-004.html,,,,"funding, grant support, incubation, mentorship, training, validation",life sciences,Portfolio/Alumni Size (cohorts of 19–24 teams per session); Activity/Engagement Level (ongoing; launched adjunct to SBIR/STTR Phase I since ~2024); Funding Impact (up to $55K awarded per team for market validation),No,No
Lighthouse Labs,Accelerator,,,"A Richmond-based organization that provides capital, connections, and curriculum to early-stage ventures, supporting their growth and success.",https://www.lighthousenetwork.co/,,,,"acceleration, funding, incubation, mentorship, networking","consumer products, fintech, life sciences, software / SaaS","Portfolio/Alumni Size (119+ startups accelerated since founding in 2012); Activity/Engagement Level (13 years); Press/News Presence (featured in 2025 Virginia Business update); Funding Impact ($2.2M+ invested into startups; supported by $1M GO Virginia grant; portfolio raised $350M+ and created 1,500+ jobs)",No,Yes
CvilleBioHub,Entrepreneurship Support Organization,,,"Accelerates the biotechnology industry in Charlottesville through engagement, resourcing, and education, fostering a collaborative environment for bio-ventures.",https://www.cvillebiohub.org,Sonos-FX (https://www.notion.so/Sonos-FX-1d74e34e337d810a86bff2ce7540f3a4?pvs=21),,Commonwealth Bio Accelerator (https://www.notion.so/Commonwealth-Bio-Accelerator-1f24e34e337d80928019c16b53625fe0?pvs=21),"acceleration, funding, grant support, incubation, mentorship, networking",life sciences,"Portfolio/Alumni Size (supported 100+ biotech/medtech startups since 2016); Activity/Engagement Level (5+ years since launch 2021 as 501(c)(3), regional efforts since 2016); Press/News Presence (50+ mentions including UVA Today, Virginia Business on biotech accelerator launch); Funding Impact ($4.3M GO?Virginia award + $750K UVA lease support; accelerator provides wet-lab access)",Yes,Yes
Venture Central,Entrepreneurship Support Organization,,,"Works collaboratively to strengthen the entrepreneurial community in Central Virginia by building connections, programs, funding, and spaces.",https://www.venturecentralva.com/,,,,"funding, incubation, mentorship, networking","consumer products, impact / social ventures, life sciences, software / SaaS","Portfolio/Alumni Size (hosts 434 Accelerator supporting dozens of tech startups annually); Activity/Engagement Level (since 2021); Press/News Presence (multiple local media mentions via website and LinkedIn launches); Funding Impact (434 Accelerator offers up to $50K in resources per startup; regionally backed by Albemarle, UVA, VIPC, GO Virginia)",Yes,Yes
MedTech Innovator,Accelerator,,,"Global accelerator and competition for medtech startups offering mentorship, exposure, and funding.",https://medtechinnovator.org/,,,,"acceleration, funding, incubation, mentorship, networking","hardware / manufacturing, life sciences","Portfolio/Alumni Size (600+ portfolio companies globally); Notable Outcomes (310+ FDA clearances/approvals for alumni); Activity/Engagement Level (12 years since inception); Press/News Presence (frequently covered across industry media, cohort announcements); Funding Impact (alumni have secured $8B+ in follow-on funding; global cohorts award $1M+ annually in prizes) ",No,No
University of Virginia,University Unit or School,,,"Top-tier public university fostering research, innovation, and entrepreneurship.",https://www.virginia.edu/,,,LVG (https://www.notion.so/LVG-1f24e34e337d801e8081e54fd650bd5a?pvs=21),"funding, grant support, incubation, mentorship, networking, training, validation","climate / cleantech, cybersecurity, deep tech, education / edtech, hardware / manufacturing, impact / social ventures, life sciences, software / SaaS","Portfolio/Alumni Size (serving UVA faculty, research staff & graduate students across all disciplines); Activity/Engagement Level (launched January 2025); Press/News Presence (launch covered in LVG news, UVA Innovates, and LinkedIn posts); Funding Impact (embedded in LVG infrastructure—no specific grants identified)",Yes,Yes
LVG Enterprise Studio,Entrepreneurship Support Organization,LVG (https://www.notion.so/LVG-1f24e34e337d801e8081e54fd650bd5a?pvs=21),Lisa Bowers (https://www.notion.so/Lisa-Bowers-1de4e34e337d806db09dd1dd65d80001?pvs=21),"UVA LVG’s program that supports early-stage startup teams with mentoring, strategy, and venture-building resources.",https://lvg.virginia.edu/enterprise-studio-1,,,,"incubation, mentorship, networking, training, validation","deep tech, education / edtech, hardware / manufacturing, impact / social ventures, life sciences, software / SaaS","Portfolio/Alumni Size (+30 actives founders); Activity/Engagement Level (since early 2025); Press/News Presence (50+ internal LVG news articles, YouTube video, LinkedIn coverage); Funding Impact (integrated in LVG budget—no separate funding line identified)",Yes,Yes
Virginia Innovation Partnership Corporation,Funding Source,,,"VIPC accelerates innovation and technology commercialization in Virginia by supporting entrepreneurs, startups, and university researchers. It provides funding programs (e.g., CRCF, GAP Funds), commercialization assistance, and access to federal SBIR/STTR resources.",https://vipc.org/,,,,"acceleration, funding, grant support, mentorship, networking, validation","climate / cleantech, cybersecurity, deep tech, hardware / manufacturing, life sciences, software / SaaS","Activity/Engagement Level (since 1985); Press/News Presence (multiple governor and fundraising announcements via VIPC and LVG, frequent on LinkedIn & pub media); Funding Impact (CCF has awarded $42M+ since 2012, including $1.5M in Q3 2022; supports Entrepreneur-in-Residence programs and university/tech commercialization)",No,Yes
Galant Center,University Unit or School,,,"Housed within UVA�s McIntire School of Commerce, the Galant Center supports student and alumni entrepreneurship via courses, mentorship, speaker events, competitions, and seed funding. It aims to foster an entrepreneurial mindset across the university.",https://www.commerce.virginia.edu/centers/galant,,,,"funding, incubation, mentorship, networking, training","consumer products, fintech, impact / social ventures, software / SaaS","Portfolio/Alumni Size (supports hundreds of students annually); Activity/Engagement Level (since 2008, 17 years); Press/News Presence (annual Galant Challenge featured 2025 finalist announcements & multiple blog entries per year); Funding Impact (finalists have raised over $35M cumulatively from the Challenge since 2012)",Yes,Yes
The Foundry,University Unit or School,,,"The Foundry is a University of Virginia initiative designed to support early-stage academic entrepreneurs by providing data insights, venture tracking tools, and performance dashboards. It enables better decision-making and resource allocation for faculty ventures.",https://innovates.virginia.edu/foundry,,,,"grant support, incubation, mentorship, networking, training","consumer products, media / entertainment, software / SaaS","Portfolio/Alumni Size (supports ~200 student/community ventures, advising 500+ entrepreneurs since 2013); Activity/Engagement Level (since 2013, ~12?years); Press/News Presence (50+ university and local media mentions, including hub launch coverage)
Funding Impact (provides one-on-one startup advising�no central grant pool identified)",Yes,Yes
