Org Name,Website URL,scrape_error
Danville Office of Economic Development,https://www.danville-va.gov/208/Economic-Development,HTTP 404
Virginia Economic Developers Association (VEDA),https://www.goveda.org/,HTTP 403
Tidewater Community College (TCC) - Center for Workforce Solutions,https://tcc.edu/programs/workforce/,HTTP 403
Piedmont Virginia Community College (PVCC) - Workforce Services,https://www.pvcc.edu/workforce,"Connection error: HTTPSConnectionPool(host='www.pvcc.edu', port=443): Max retries exceeded with url: /workforce (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1017)')))"
Dabney S. Lancaster Community College (now Mountain Gateway Community College) - Workforce Development,https://mgcc.edu/workforce-solutions/,"Connection error: HTTPSConnectionPool(host='mgcc.edu', port=443): Max retries exceeded with url: /workforce-solutions/ (Caused by NameResolutionError(""HTTPSConnection(host='mgcc.edu', port=443): Failed to resolve 'mgcc.edu' ([Errno 11001] getaddrinfo failed)""))"
Rappahannock Community College - Workforce Development,https://www.rappahannock.edu/explore-programs/programs/workforce-skills-training.html,HTTP 404
City of Franklin Economic Development,https://www.franklinva.com/government/departments/economic-development/,"Connection error: HTTPSConnectionPool(host='www.franklinva.com', port=443): Max retries exceeded with url: /government/departments/economic-development/ (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.franklinva.com'. (_ssl.c:1017)"")))"
King George County Economic Development,https://www.kinggeorgecountyva.gov/212/Economic-Development,HTTP 404
Westmoreland County Economic Development,https://www.westmoreland-county.org/ed,HTTP 404
Prince Edward County Economic Development,https://www.co.prince-edward.va.us/Economic-Development,HTTP 403
Albemarle County Department of Economic Development,https://www.enablealbemarle.org/,HTTP 403
City of Staunton Economic Development,https://www.stauntonbusiness.com/,HTTP 403
City of Winchester Economic Development,https://www.developwinchesterva.com/contact/financial/,HTTP 403
WeFunder,https://wefunder.com,HTTP 403
Rural Business Development Grant Program (USDA Rural Development),https://www.rd.usda.gov/programs-services/business-programs/rural-business-development-grants,Timeout after 20s
William & Mary - Alan B. Miller Entrepreneurship Center,https://mason.wm.edu/centers/miller/,HTTP 404
Getting Started with INDs / IDEs,https://www.research.chop.edu/investigational-new-drug-and-device-support-program/getting-started-with-inds-ides,HTTP 403
Investigational New Drug (IND) Submission Support,https://www.criver.com/products-services/safety-assessment/ind-enabling-studies/investigational-new-drug-ind-submission-support,HTTP 403
University Programs for Entrepreneurial Opportunities,https://www.michiganbusiness.org/services/entrepreneurial-opportunity/university-programs/,HTTP 403
Licensing,https://www.nsa.gov/Research/Technology-Transfer-Program/Licensing/,HTTP 403
